Year,ENSO,ENSO_var,ENSO_short,PDO
1412,1.06,1.308,0.648,
1413,-1.855,1.441,-0.369,
1414,2.038,1.46,-0.869,
1415,-1.035,1.262,-0.866,
1416,-0.649,1.409,0.263,
1417,0.518,1.413,1.135,
1418,0.691,1.116,-0.048,
1419,-0.911,1.186,0.108,
1420,1.128,0.955,-0.305,
1421,-0.248,1.049,0.191,
1422,-0.453,0.987,-1.49,
1423,-1.537,0.959,-1.318,
1424,0.53,0.735,0.239,
1425,0.404,0.481,1.838,
1426,0.505,0.472,-0.63,
1427,0.658,0.486,-0.176,
1428,0.436,0.474,-0.012,
1429,-0.75,0.461,-1.065,
1430,-0.431,0.423,-0.713,
1431,0.333,0.503,-0.601,
1432,-0.286,0.539,1.092,
1433,0.56,0.65,-0.068,
1434,-0.031,0.56,0.337,
1435,-0.015,0.441,-1.333,
1436,0.572,0.429,-0.125,
1437,-0.769,0.425,-0.047,
1438,-0.837,0.393,-0.459,
1439,-0.594,0.4,-0.035,
1440,0.335,0.415,-0.732,
1441,2.039,0.501,0.257,
1442,-0.742,0.492,-0.927,
1443,0.502,0.505,0.218,
1444,-0.558,0.484,0.29,
1445,-0.552,0.624,-0.972,
1446,-0.223,0.628,-0.473,
1447,0.446,0.585,-0.387,
1448,-0.346,0.669,0.332,
1449,0.518,0.651,-0.385,
1450,-0.885,0.642,0.406,
1451,1.238,0.635,0.472,
1452,0.064,0.58,0.367,
1453,0.454,0.536,-1.634,
1454,0.212,0.681,-1.651,
1455,-1.618,0.783,-1.992,
1456,-0.222,0.918,-0.488,
1457,0.052,1.04,-0.034,
1458,1.186,1.1,0.616,
1459,-0.703,1.091,-0.688,
1460,-0.511,1.082,0.526,
1461,0.119,1.219,-0.104,
1462,1.41,1.2,-0.071,
1463,0.237,1.208,-0.254,
1464,-1.721,1.21,-0.788,
1465,-1.286,1.339,-0.511,
1466,1.477,1.207,-0.152,
1467,1.795,1.196,0.78,
1468,-1.16,1.257,0.433,
1469,0.477,1.242,0.385,
1470,0.309,1.294,-0.814,
1471,-1.75,1.263,-0.602,
1472,0.541,1.276,-0.796,
1473,0.573,1.311,-0.683,
1474,0.007,1.431,-0.849,
1475,-1.605,1.277,-0.648,
1476,0.134,1.231,-0.71,
1477,0.934,1.172,0.969,
1478,1.209,1.108,0.413,
1479,-0.715,1.009,0.868,
1480,-1.107,1.003,-0.478,
1481,0.122,1.015,-0.567,
1482,0.425,0.913,0.413,
1483,-1.392,0.896,-1.019,
1484,1.807,0.85,1.431,
1485,0.119,1.05,1.634,
1486,1.321,0.944,0.131,
1487,-0.715,0.979,0.255,
1488,-1.142,1.186,0.121,
1489,-0.085,1.168,0.931,
1490,0.318,1.24,-1.109,
1491,0.578,1.162,-0.669,
1492,-0.168,1.188,-1.118,
1493,0.322,1.154,0.954,
1494,0.849,1.156,-1.021,
1495,-1.856,0.941,-1.984,
1496,-0.892,1.166,-0.057,
1497,-0.612,1.082,-0.933,
1498,2.312,1.066,0.671,
1499,1.078,1.008,0.861,
1500,-1.231,1.121,0.019,
1501,-0.187,1.189,-0.872,
1502,-0.601,1.173,-0.282,
1503,-0.158,1.174,0.316,
1504,1.173,1.248,0.661,
1505,0.181,1.193,0.648,
1506,-2.08,1.05,-1.483,
1507,0.782,1.049,-0.099,
1508,0.271,1.045,-0.204,
1509,0.718,1.002,-0.87,
1510,-1.041,0.914,-1.157,
1511,1.21,0.863,0.642,
1512,-0.269,1.062,-0.683,
1513,-0.294,0.999,-1.445,
1514,1.012,0.999,0.468,
1515,-0.392,0.93,-0.841,
1516,-0.705,1.173,-1.644,
1517,-0.797,0.878,-0.129,
1518,-0.561,1.069,-0.321,
1519,1.886,1.068,-0.198,
1520,0.257,1.215,0.646,
1521,0.654,1.155,-0.445,
1522,-2.002,1.229,-0.832,
1523,0.138,1.228,-0.649,
1524,-0.162,1.222,-1.357,
1525,-0.179,1.081,-0.914,
1526,1.951,1.368,1.288,
1527,0.322,1.343,-0.151,
1528,-1.712,1.659,-2.119,
1529,-0.503,1.653,-0.553,
1530,1.485,1.575,0.431,
1531,0.389,1.587,0.201,
1532,-1.878,2.025,-1.039,
1533,-0.183,1.699,-0.831,
1534,0.028,1.772,0.089,
1535,-0.198,1.765,-1.222,
1536,1.769,1.582,-0.4,
1537,0.778,1.544,0.046,
1538,-2.376,1.618,-1.499,
1539,1.02,1.454,0.191,
1540,1.549,1.278,0.231,
1541,0.471,1.332,0.012,
1542,-2.922,1.473,-0.513,
1543,0.643,1.263,0.755,
1544,0.048,1.135,-1.028,
1545,0.005,1.081,0.524,
1546,0.638,0.971,-1.283,
1547,-0.768,0.709,-0.387,
1548,-0.948,0.853,-0.684,
1549,0.963,0.644,-1.364,
1550,0.847,0.584,0.01,
1551,-0.337,0.545,0.051,
1552,-1.308,0.535,-0.602,
1553,0.789,0.416,-0.544,
1554,0.214,0.451,-0.404,
1555,0.367,0.547,0.401,
1556,0.347,0.548,-0.077,
1557,0.493,0.618,-0.415,
1558,-0.438,0.613,-0.295,
1559,-0.26,0.561,-0.43,
1560,0.034,0.514,-0.172,
1561,-0.795,0.491,-1.14,
1562,-0.282,0.493,-0.438,
1563,-0.377,0.474,-0.211,
1564,1.008,0.436,-0.019,
1565,1.289,0.448,0.324,
1566,-0.1,0.483,-0.795,
1567,-1.408,0.534,-1.159,
1568,-0.163,0.614,-1.027,
1569,0.677,0.753,0.312,
1570,0.366,0.824,-0.256,
1571,-0.498,0.873,-0.968,
1572,0.603,0.905,-1.656,
1573,-1.126,0.929,-2.104,
1574,0.025,1.043,-0.127,
1575,0.532,1.113,0.829,
1576,-0.75,1.168,-0.869,
1577,1.034,1.28,-0.142,
1578,1.274,1.134,-0.835,
1579,-1.754,1.126,0.126,
1580,-1.202,1.337,0.115,
1581,0.76,1.373,1.247,
1582,1.211,1.354,0.976,
1583,0.333,1.232,-0.077,
1584,-1.193,1.327,-1.204,
1585,-1.823,1.345,-0.524,
1586,1.629,1.365,-0.348,
1587,0.36,1.333,-0.658,
1588,0.679,1.281,-0.045,
1589,0.755,1.403,-1.279,
1590,-1.676,1.456,-0.467,
1591,-0.477,1.426,-0.792,
1592,-0.271,1.426,0.124,
1593,-0.137,1.406,-1.162,
1594,1.565,1.411,0.709,
1595,-0.238,1.331,-1.169,
1596,0.869,1.151,-1.724,
1597,-0.442,1.058,-0.065,
1598,-0.959,1.059,-0.704,
1599,1.956,0.999,-1.053,
1600,-2.034,1.065,-2.25,
1601,-0.958,0.913,-1.363,
1602,0.568,0.887,-1.65,
1603,1.093,0.954,-0.942,
1604,0.397,0.961,0.739,
1605,-0.309,0.809,-0.064,
1606,-0.272,0.811,0.785,
1607,-0.958,0.746,0.959,
1608,0.37,0.749,-0.04,
1609,-0.055,0.639,0.779,
1610,1.196,0.47,2.28,
1611,0.328,0.486,-0.768,
1612,0.075,0.42,0.061,
1613,-1.13,0.468,-0.358,
1614,-0.357,0.409,0.507,
1615,0.122,0.408,0.071,
1616,-0.287,0.533,-0.556,
1617,0.37,0.599,-0.359,
1618,0.235,0.514,0.092,
1619,-0.258,0.611,0.28,
1620,0.309,0.67,0.515,
1621,1.91,0.625,0.061,
1622,-0.355,0.818,-1.454,
1623,-0.936,0.843,-2.419,
1624,-0.808,0.765,-1.996,
1625,0.387,0.859,-1.71,
1626,-1.477,0.857,-2.842,
1627,0.574,0.967,-0.531,
1628,0.264,1.081,-0.516,
1629,1.193,1.106,1.42,
1630,0.856,1.126,0.251,
1631,-0.713,1.135,0.805,
1632,-2.415,0.962,-0.036,
1633,0.285,0.93,-0.518,
1634,0.488,0.789,0.611,
1635,1.404,0.922,1.487,
1636,0.223,0.932,0.393,
1637,-1.019,0.82,-0.778,
1638,-0.998,1.151,-0.082,
1639,0.573,1.148,-0.316,
1640,0.995,0.986,0.093,
1641,-0.189,1.294,-0.968,
1642,0.542,0.75,-0.5,
1643,0.074,0.914,-0.629,
1644,0.167,1.373,-0.637,
1645,-1.775,1.465,-0.76,
1646,0.557,1.554,0.905,
1647,1.34,1.603,1.74,
1648,-2.14,1.474,-0.483,
1649,0.274,1.382,0.195,
1650,0.059,1.364,-1.029,
1651,2.332,1.387,1.053,
1652,0.349,1.332,0.133,
1653,-1.129,1.373,-1.964,
1654,-2.918,1.484,-0.612,
1655,0.807,1.519,-0.034,
1656,1.773,1.143,1.234,
1657,-0.446,1.242,-0.385,
1658,-0.272,1.149,-0.913,
1659,-0.505,0.841,-0.704,
1660,0.265,1.016,0.07,
1661,1.125,1.111,1.283,0.692957725
1662,0.485,0.847,-0.777,0.807883392
1663,-0.048,0.828,-2.266,0.607277017
1664,-0.824,0.877,-1.645,0.199513263
1665,0.49,0.659,0.296,-0.115101594
1666,0.144,0.738,-0.788,-0.628939495
1667,-0.528,0.592,-0.541,-0.692633692
1668,-0.85,0.617,0.192,-0.850710039
1669,0.09,0.696,-0.706,-1.375210988
1670,-1.346,0.809,0.151,-1.354418664
1671,0.93,0.841,1.451,-1.310086121
1672,0.555,0.762,-0.384,-0.322229012
1673,-0.209,0.985,0.104,0.302695074
1674,1.485,0.998,0.001,0.557320946
1675,-0.573,1.29,-0.633,0.290267355
1676,-1.312,1.278,-1.025,-0.01847341
1677,0.547,1.494,0.01,-0.223741075
1678,0.593,1.503,0.326,0.342921828
1679,-1.207,1.409,-0.318,0.613033493
1680,1.686,1.491,0.533,0.911034629
1681,-0.621,1.465,0.245,0.930296925
1682,-0.228,1.505,0.319,0.890379954
1683,2.222,1.481,0.35,0.796329931
1684,-0.365,1.43,-0.032,0.554004302
1685,-2.772,1.36,-1.538,0.327559758
1686,-0.762,1.485,0.032,0.42541519
1687,1.599,1.344,0.346,0.528555672
1688,0.269,1.444,-0.384,0.781255466
1689,0.364,1.452,-0.022,0.499369261
1690,-0.407,1.286,0.349,0.164056658
1691,-1.183,1.235,0.07,0.249527424
1692,1.152,1.292,0.124,0.502468408
1693,0.327,1.428,0.089,0.587285656
1694,0.406,1.226,-0.561,0.429503652
1695,0.94,1.213,0.971,0.489878276
1696,-1.366,0.974,-0.894,0.462175843
1697,-0.247,0.903,-0.808,0.36450171
1698,-1.228,0.843,0.304,0.521098337
1699,0.45,0.839,0.077,0.842653377
1700,0.114,0.899,-0.047,1.382024786
1701,1.401,0.914,0.275,1.410578711
1702,1.219,0.828,0.104,0.668474178
1703,-1.238,0.769,0.329,0.286378905
1704,-0.993,0.766,-1.503,-0.268861776
1705,-0.099,0.771,-1.172,-0.069596603
1706,0.877,0.769,-0.528,-0.086429364
1707,0.017,0.72,-0.954,-0.343189699
1708,-1.19,0.738,0.081,-0.447423505
1709,-0.655,0.698,0.09,-0.305378633
1710,1.148,0.729,-0.298,-0.160202569
1711,0.132,0.734,-0.1,0.032937632
1712,0.462,0.713,0.118,0.032638894
1713,0.237,0.664,-0.716,0.329275325
1714,0.146,0.648,-0.382,0.016766377
1715,-0.376,0.638,-0.755,-0.183828508
1716,-0.867,0.859,-1.909,-0.387569327
1717,-0.992,0.94,-1.118,-0.286513222
1718,0.462,0.978,0.217,0.158287139
1719,0.659,1.058,0.558,0.580095438
1720,1.266,1.047,1.125,0.717511059
1721,-0.157,0.956,0.299,0.47511921
1722,-1.111,1.054,-0.309,0.497093496
1723,0.792,1.108,0.374,0.177523489
1724,-1.114,1.271,-0.727,0.401730561
1725,-0.896,1.443,-2.273,0.270822684
1726,2.162,1.524,-1.544,0.30604829
1727,1.563,1.331,0.042,0.294234391
1728,-0.622,1.336,-1.283,-0.333715208
1729,-1.697,1.438,0.026,-0.665954546
1730,-0.463,1.434,-1.018,-0.70507409
1731,0.024,1.323,-1.377,-0.316145203
1732,1.358,1.596,0.094,-0.07432221
1733,-1.15,1.405,-1.377,-0.025363107
1734,1.53,1.504,0.072,-0.398616808
1735,-1.377,1.334,1.745,-0.401082466
1736,-0.673,1.593,0.628,-0.704936671
1737,0.244,1.634,0.302,-0.06722458
1738,1.347,2.042,0.81,-0.254650498
1739,-0.899,2.076,-0.602,-0.060600944
1740,0.624,1.85,-0.219,-0.379207166
1741,0.35,1.864,-0.922,-0.163393398
1742,-1.597,2.161,-2.962,0.010579303
1743,0.06,2.054,-1.354,-0.00737105
1744,-0.881,1.926,-0.547,0.33749185
1745,0.074,1.751,0.945,0.869410035
1746,2.484,1.546,0.478,1.376769071
1747,2.368,1.68,2.191,1.284321719
1748,-3.669,1.753,0.018,1.079820468
1749,0.94,1.595,-0.163,0.412378478
1750,0.162,1.493,-1.269,0.416727349
1751,0.842,1.516,0.352,-0.44056335
1752,-1.977,1.596,-1.383,-0.966103927
1753,0.185,1.641,-0.712,-1.681765549
1754,0.696,1.65,-0.726,-1.385164558
1755,-0.017,1.738,-1.345,-1.428090703
1756,-0.52,1.869,-0.125,-0.764212023
1757,-1.306,1.517,-0.8,-0.431787724
1758,0.894,1.183,-0.556,-0.034166417
1759,0.316,0.86,1.613,0.207245918
1760,-0.22,0.841,-0.602,0.225542715
1761,0.816,1.086,0.114,0.346875898
1762,1.04,1.101,0.138,0.300068406
1763,-1.792,1.092,-0.74,0.20196097
1764,0.373,1.083,0.97,-0.295932963
1765,-1.274,1.122,-0.51,-0.061543073
1766,1.483,1.144,0.675,-0.017827076
1767,0.025,1.15,-0.466,0.682609735
